title,year,authors,venue,citation_count,openalex_id,doi,url,open_access_pdf,concepts,type,is_oa,abstract
Guiding Principles to Address the Impact of Algorithm Bias on Racial and Ethnic Disparities in Health and Health Care,2023,Marshall H. Chin; Nasim Afsarmanesh; Arlene S. Bierman; Christine Chang; Caleb J. Colón-Rodríguez; Prashila Dullabh; Deborah G. Duran; Malika Fair; Tina Hernandez‐Boussard; Maia Hightower; Anjali Jain; William B. Jordan; Stephen Konya; Roslyn Holliday Moore; Tamra Tyree Moore; Richard Rodriguez; Gauher Shaheen; Lynne Page Snyder; Mithuna Srinivasan; Craig A. Umscheid; Lucila Ohno‐Machado,JAMA Network Open,156,W4389794809,10.1001/jamanetworkopen.2023.45050,https://openalex.org/W4389794809,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2812958/chin_2023_sc_230007_1702050468.82841.pdf,Health equity; Health care; Algorithm; Ethnic group; Health policy,article,True,"Importance Health care algorithms are used for diagnosis, treatment, prognosis, risk stratification, and allocation of resources. Bias in the development and use of algorithms can lead to worse outcomes for racial and ethnic minoritized groups and other historically marginalized populations such as individuals with lower income. Objective To provide a conceptual framework and guiding principles for mitigating and preventing bias in health care algorithms to promote health and health care equity. Evidence Review The Agency for Healthcare Research and Quality and the National Institute for Minority Health and Health Disparities convened a diverse panel of experts to review evidence, hear from stakeholders, and receive community feedback. Findings The panel developed a conceptual framework to apply guiding principles across an algorithm’s life cycle, centering health and health care equity for patients and communities as the goal, within the wider context of structural racism and discrimination. Multiple stakeholders can mitigate and prevent bias at each phase of the algorithm life cycle, including problem formulation (phase 1); data selection, assessment, and management (phase 2); algorithm development, training, and validation (phase 3); deployment and integration of algorithms in intended settings (phase 4); and algorithm monitoring, maintenance, updating, or deimplementation (phase 5). Five principles should guide these efforts: (1) promote health and health care equity during all phases of the health care algorithm life cycle; (2) ensure health care algorithms and their use are transparent and explainable; (3) authentically engage patients and communities during all phases of the health care algorithm life cycle and earn trustworthiness; (4) explicitly identify health care algorithmic fairness issues and trade-offs; and (5) establish accountability for equity and fairness in outcomes from health care algorithms. Conclusions and Relevance Multiple stakeholders must partner to create systems, processes, regulations, incentives, standards, and policies to mitigate and prevent algorithmic bias. Reforms should implement guiding principles that support promotion of health and health care equity in all phases of the algorithm life cycle as well as transparency and explainability, authentic community engagement and ethical partnerships, explicit identification of fairness issues and trade-offs, and accountability for equity and fairness."
An adversarial training framework for mitigating algorithmic biases in clinical machine learning,2023,Jenny Yang; Andrew A. S. Soltan; David W. Eyre; Yang Yang; David A. Clifton,npj Digital Medicine,106,W4361285150,10.1038/s41746-023-00805-y,https://openalex.org/W4361285150,https://www.nature.com/articles/s41746-023-00805-y.pdf,Adversarial system; Odds; Task (project management); Machine learning; Computer science,article,True,"Abstract Machine learning is becoming increasingly prominent in healthcare. Although its benefits are clear, growing attention is being given to how these tools may exacerbate existing biases and disparities. In this study, we introduce an adversarial training framework that is capable of mitigating biases that may have been acquired through data collection. We demonstrate this proposed framework on the real-world task of rapidly predicting COVID-19, and focus on mitigating site-specific (hospital) and demographic (ethnicity) biases. Using the statistical definition of equalized odds, we show that adversarial training improves outcome fairness, while still achieving clinically-effective screening performances (negative predictive values &gt;0.98). We compare our method to previous benchmarks, and perform prospective and external validation across four independent hospital cohorts. Our method can be generalized to any outcomes, models, and definitions of fairness."
"Risk and the future of AI: Algorithmic bias, data colonialism, and marginalization",2023,Anmol Arora; M. Barrett; Euisin Lee; Eivor Oborn; Karl Prince,Information and Organization,79,W4386131004,10.1016/j.infoandorg.2023.100478,https://openalex.org/W4386131004,,Colonialism; Data science; Computer science; History; Archaeology,article,False,
Bias in artificial intelligence algorithms and recommendations for mitigation,2023,Lama Nazer; Razan Zatarah; Shai Waldrip; Janny Xue Chen Ke; Mira Moukheiber; Ashish K. Khanna; Rachel S. Hicklen; Lama Moukheiber; Dana Moukheiber; Haobo Ma; Piyush Mathur,PLOS Digital Health,407,W4381716616,10.1371/journal.pdig.0000278,https://openalex.org/W4381716616,https://journals.plos.org/digitalhealth/article/file?id=10.1371/journal.pdig.0000278&type=printable,Health care; Computer science; Preprocessor; Artificial intelligence; Data science,review,True,"The adoption of artificial intelligence (AI) algorithms is rapidly increasing in healthcare. Such algorithms may be shaped by various factors such as social determinants of health that can influence health outcomes. While AI algorithms have been proposed as a tool to expand the reach of quality healthcare to underserved communities and improve health equity, recent literature has raised concerns about the propagation of biases and healthcare disparities through implementation of these algorithms. Thus, it is critical to understand the sources of bias inherent in AI-based algorithms. This review aims to highlight the potential sources of bias within each step of developing AI algorithms in healthcare, starting from framing the problem, data collection, preprocessing, development, and validation, as well as their full implementation. For each of these steps, we also discuss strategies to mitigate the bias and disparities. A checklist was developed with recommendations for reducing bias during the development and implementation stages. It is important for developers and users of AI-based algorithms to keep these important considerations in mind to advance health equity for all populations."
A Comprehensive Review of AI Techniques for Addressing Algorithmic Bias in Job Hiring,2024,Elham Albaroudi; Taha Mansouri; Ali Alameer,AI,56,W4391598857,10.3390/ai5010019,https://openalex.org/W4391598857,https://www.mdpi.com/2673-2688/5/1/19/pdf?version=1707285598,Computer science; Data science; Political science,review,True,"The study comprehensively reviews artificial intelligence (AI) techniques for addressing algorithmic bias in job hiring. More businesses are using AI in curriculum vitae (CV) screening. While the move improves efficiency in the recruitment process, it is vulnerable to biases, which have adverse effects on organizations and the broader society. This research aims to analyze case studies on AI hiring to demonstrate both successful implementations and instances of bias. It also seeks to evaluate the impact of algorithmic bias and the strategies to mitigate it. The basic design of the study entails undertaking a systematic review of existing literature and research studies that focus on artificial intelligence techniques employed to mitigate bias in hiring. The results demonstrate that the correction of the vector space and data augmentation are effective natural language processing (NLP) and deep learning techniques for mitigating algorithmic bias in hiring. The findings underscore the potential of artificial intelligence techniques in promoting fairness and diversity in the hiring process with the application of artificial intelligence techniques. The study contributes to human resource practice by enhancing hiring algorithms’ fairness. It recommends the need for collaboration between machines and humans to enhance the fairness of the hiring process. The results can help AI developers make algorithmic changes needed to enhance fairness in AI-driven tools. This will enable the development of ethical hiring tools, contributing to fairness in society."
Addressing AI Algorithmic Bias in Health Care,2024,Raj M. Ratwani; Karey M. Sutton; Jessica E. Galarraga,JAMA,48,W4402223957,10.1001/jama.2024.13486,https://openalex.org/W4402223957,,Medicine; Health care; Applications of artificial intelligence; MEDLINE; Artificial intelligence,editorial,False,"This Viewpoint discusses the bias that exists in artificial intelligence (AI) algorithms used in health care despite recent federal rules to prohibit discriminatory outcomes from AI and recommends ways in which health care facilities, AI developers, and regulators could share responsibilities and actions to address bias."
Advancing algorithmic bias management capabilities in AI-driven marketing analytics research,2023,Shahriar Akter; Saida Sultana; Marcello M. Mariani; Samuel Fosso Wamba; Konstantina Spanaki; Yogesh K. Dwivedi,Industrial Marketing Management,42,W4386300838,10.1016/j.indmarman.2023.08.013,https://openalex.org/W4386300838,https://doi.org/10.1016/j.indmarman.2023.08.013,Customer lifetime value; Analytics; Equity (law); Marketing; Data science,article,True,"Algorithms in the age of artificial intelligence (AI) constantly transform customer behaviour, marketing programs, and marketing strategies in industrial markets. However, algorithms often fail to perform as expected due to various data, model, and market biases. Motivated by this challenge, this study presents a framework of algorithmic bias management capabilities for industrial markets that contribute to customer equity in terms of value, brand and relationship equity. Drawing on the dynamic capability theory, this study fills this gap by conducting a literature review, thematic analysis, and two rounds of surveys (n=200 analytics professionals and n=200 business customers) in the financial service industry in Australia. The findings show that algorithmic bias management capability consists of three primary dimensions (data, model, and deployment capabilities) and nine subdimensions. These findings have important implications for scholars and managers interested in developing algorithmic bias management capabilities to influence customer equity in industrial markets."
The Potential of Diverse Youth as Stakeholders in Identifying and Mitigating Algorithmic Bias for a Future of Fairer AI,2023,Jaemarie Solyst; Ellia Yang; Shixian Xie; Amy Ogan; Jessica Hammer; Motahhare Eslami,Proceedings of the ACM on Human-Computer Interaction,45,W4387344911,10.1145/3610213,https://openalex.org/W4387344911,https://dl.acm.org/doi/pdf/10.1145/3610213,Harm; Diversity (politics); Injustice; Inclusion (mineral); Psychology,article,True,"Youth regularly use technology driven by artificial intelligence (AI). However, it is increasingly well-known that AI can cause harm on small and large scales, especially for those underrepresented in tech fields. Recently, users have played active roles in surfacing and mitigating harm from algorithmic bias. Despite being frequent users of AI, youth have been under-explored as potential contributors and stakeholders to the future of AI. We consider three notions that may be at the root of youth facing barriers to playing an active role in responsible AI, which are youth (1) cannot understand the technical aspects of AI, (2) cannot understand the ethical issues around AI, and (3) need protection from serious topics related to bias and injustice. In this study, we worked with youth (N = 30) in first through twelfth grade and parents (N = 6) to explore how youth can be part of identifying algorithmic bias and designing future systems to address problematic technology behavior. We found that youth are capable of identifying and articulating algorithmic bias, often in great detail. Participants suggested different ways users could give feedback for AI that reflects their values of diversity and inclusion. Youth who may have less experience with computing or exposure to societal structures can be supported by peers or adults with more of this knowledge, leading to critical conversations about fairer AI. This work illustrates youths' insights, suggesting that they should be integrated in building a future of responsible AI."
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,2024,Joseph Alderman; Joanne Palmer; Elinor Laws; Melissa D. McCradden; Johan Ordish; Marzyeh Ghassemi; Stephen Pfohl; Negar Rostamzadeh; Heather Cole-Lewis; Ben Glocker; Melanie Calvert; Tom Pollard; J. M. Gill; Jacqui Gath; Ade Adebajo; Jude Beng; Cheuk Wing Leung; Stephanie Kuku; Lesley-Anne Farmer; Rubeta Matin; Bilal A. Mateen; Francis McKay; Katherine Heller; Alan Karthikesalingam; Darren Treanor; Maxine Mackintosh; Lauren Oakden‐Rayner; Russell J. Pearson; Arjun K. Manrai; Puja Myles; Judit Kumuthini; Zoher Kapacee; Neil J. Sebire; Lama Nazer; Jarrel Seah; Ashley Akbari; Lewis E. Berman; Judy Wawira Gichoya; Lorenzo Righetto; D. V. K. Samuel; William Wasswa; Maria Charalambides; Anmol Arora; Sameer Pujari; Charlotte Summers; Elizabeth Sapey; S P Wilkinson; Vishal Thakker; Alastair K. Denniston; Xiaoxuan Liu,The Lancet Digital Health,45,W4405534231,10.1016/s2589-7500(24)00224-3,https://openalex.org/W4405534231,https://doi.org/10.1016/s2589-7500(24)00224-3,Transparency (behavior); Data science; Computer science; Political science; Computer security,review,True,
"AI Algorithmic Bias: Understanding its Causes, Ethical and Social Implications",2023,Lakshitha R Jain; Vineetha Menon,,28,W4389988494,10.1109/ictai59109.2023.00073,https://openalex.org/W4389988494,,Computer science; Artificial intelligence; Selection bias; Machine learning; Apprehension,article,False,"The escalating usage of artificial intelligence (AI) and machine learning algorithms across diverse fields has prompted apprehension regarding the propagation of algorithmic bias, which may exacerbate instances of discrimination and inequality. Algorithmic bias in AI and machine learning (ML) techniques manifests in real-world applications as a result of either insufficient data variation or augmentation availability in the AI/ML training data, or a flawed learning policy. This leads to the accidental propagation of AI bias as an unjust treatment of particular groups of individuals, owing to their race, gender [1], age, or other distinguishing attributes in practical applications. This paper offers a comprehensive analysis of algorithmic bias, encompassing its origins, ethical and social ramifications, and possible remediations. In addition, this paper introduces an innovative methodology for identifying and measuring algorithmic bias that integrates statistical analysis with input from users and domain specialists. This exposition examines distinct forms of algorithmic biases, such as selection bias, confirmation bias, and measurement bias, and examines underlying catalysts for algorithmic bias, encompassing data integrity concerns, decisions regarding algorithmic design, and institutional prejudgments. The adverse ramifications of algorithmic bias, including the perpetuation of social inequality and the impeding of societal advancement, are the focus of our examination. The present study seeks to make a contribution to the advancement of impartial [2] and equitable AI systems with the potential to foster societal progress and benefit individuals across diverse demographics by identifying the sources and repercussions of algorithmic bias and recommending efficacious interventions."
